AREA,SUB AREA,AGE GROUP,YEAR,WEEK,THRESHOLD,BASELINE,PERCENT I,PERCENT P&I,PERCENT PIC,NUM INFLUENZA DEATHS,NUM PNEUMONIA DEATHS,NUM COVID-19 DEATHS,TOTAL PIC,TOTAL DEATHS,PERCENT COMPLETE
National,,All,2017,40,6.1,5.7,,5.8,5.8,16,3022,0,3038,52110,> 100%
National,,All,2017,41,6.1,5.8,,5.9,5.9,18,3001,0,3019,51578,> 100%
National,,All,2017,42,6.2,5.9,,6.1,6.1,28,3156,0,3184,52228,> 100%
National,,All,2017,43,6.3,6,,6.3,6.3,23,3279,0,3302,52548,> 100%
National,,All,2017,44,6.4,6.1,,6.1,6.1,36,3215,0,3251,53679,> 100%
National,,All,2017,45,6.5,6.2,,6.1,6.1,45,3180,0,3225,53258,> 100%
National,,All,2017,46,6.6,6.3,,6.3,6.3,50,3315,0,3365,53771,> 100%
National,,All,2017,47,6.8,6.4,,6,6,48,3202,0,3250,54120,> 100%
National,,All,2017,48,6.9,6.5,,6.5,6.5,83,3493,0,3576,54760,> 100%
National,,All,2017,49,7,6.6,,6.6,6.6,118,3528,0,3646,55595,> 100%
National,,All,2017,50,7.1,6.7,,6.8,6.8,165,3759,0,3924,57370,> 100%
National,,All,2017,51,7.1,6.8,,7.3,7.3,359,3987,0,4346,59505,> 100%
National,,All,2017,52,7.2,6.9,,8.3,8.3,671,4418,0,5089,61090,> 100%
National,,All,2018,1,7.3,7,,9.6,9.6,1165,5156,0,6321,66134,> 100%
National,,All,2018,2,7.4,7,,10.5,10.5,1536,5583,0,7119,67495,> 100%
National,,All,2018,3,7.4,7.1,,10.9,10.9,1626,5412,0,7038,64646,> 100%
National,,All,2018,4,7.5,7.1,,10.6,10.6,1448,5187,0,6635,62780,> 100%
National,,All,2018,5,7.5,7.2,,10.2,10.2,1360,4877,0,6237,60974,> 100%
National,,All,2018,6,7.5,7.2,,9.7,9.7,1243,4689,0,5932,61110,> 100%
National,,All,2018,7,7.5,7.2,,9.7,9.7,1179,4599,0,5778,59779,> 100%
National,,All,2018,8,7.5,7.2,,9.2,9.2,892,4426,0,5318,57793,> 100%
National,,All,2018,9,7.5,7.1,,8.4,8.4,738,4044,0,4782,56692,> 100%
National,,All,2018,10,7.5,7.1,,8,8,507,4061,0,4568,57093,> 100%
National,,All,2018,11,7.4,7.1,,7.6,7.6,444,3853,0,4297,56326,> 100%
National,,All,2018,12,7.3,7,,7.4,7.4,345,3793,0,4138,55766,> 100%
National,,All,2018,13,7.3,6.9,,7.4,7.4,284,3779,0,4063,54918,> 100%
National,,All,2018,14,7.2,6.8,,7.2,7.2,300,3698,0,3998,55294,> 100%
National,,All,2018,15,7.1,6.8,,6.9,6.9,214,3590,0,3804,55228,> 100%
National,,All,2018,16,7,6.7,,6.6,6.6,153,3430,0,3583,54038,> 100%
National,,All,2018,17,6.9,6.6,,6.5,6.5,119,3394,0,3513,53727,> 100%
National,,All,2018,18,6.8,6.4,,6.1,6.1,106,3198,0,3304,53741,> 100%
National,,All,2018,19,6.7,6.3,,5.9,5.9,53,3032,0,3085,52105,> 100%
National,,All,2018,20,6.6,6.2,,5.9,5.9,43,2955,0,2998,50618,> 100%
National,,All,2018,21,6.4,6.1,,5.8,5.8,26,2951,0,2977,50929,> 100%
National,,All,2018,22,6.3,6,,5.7,5.7,26,2905,0,2931,51045,> 100%
National,,All,2018,23,6.2,5.9,,5.6,5.6,14,2908,0,2922,52001,> 100%
National,,All,2018,24,6.1,5.8,,5.7,5.7,14,2935,0,2949,51387,> 100%
National,,All,2018,25,6,5.7,,5.6,5.6,7,2865,0,2872,51044,> 100%
National,,All,2018,26,5.9,5.6,,5.7,5.7,9,2868,0,2877,50855,> 100%
National,,All,2018,27,5.8,5.5,,5.4,5.4,10,2769,0,2779,51684,> 100%
National,,All,2018,28,5.8,5.4,,5.4,5.4,5,2781,0,2786,51191,> 100%
National,,All,2018,29,5.7,5.3,,5.4,5.4,8,2706,0,2714,50609,> 100%
National,,All,2018,30,5.6,5.3,,5.4,5.4,12,2700,0,2712,50274,> 100%
National,,All,2018,31,5.6,5.2,,5.3,5.3,4,2661,0,2665,50637,> 100%
National,,All,2018,32,5.6,5.2,,5.3,5.3,10,2673,0,2683,50967,> 100%
National,,All,2018,33,5.5,5.2,,5.2,5.2,5,2616,0,2621,50301,> 100%
National,,All,2018,34,5.5,5.2,,5.4,5.4,10,2713,0,2723,50459,> 100%
National,,All,2018,35,5.6,5.2,,5.2,5.2,6,2630,0,2636,50611,> 100%
National,,All,2018,36,5.6,5.2,,5.5,5.5,6,2749,0,2755,50299,> 100%
National,,All,2018,37,5.6,5.3,,5.4,5.4,8,2761,0,2769,51083,> 100%
National,,All,2018,38,5.7,5.3,,5.5,5.5,11,2819,0,2830,51583,> 100%
National,,All,2018,39,5.7,5.4,,5.5,5.5,14,2814,0,2828,50959,> 100%